Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Deniz Sahenk,1.6,Turkey,diversified,1931,75,"Istanbul, Turkey",Turkey,Widowed,2,,FALSE,POINT (28.9651646 41.0096334)
Bhadresh Shah,1.6,India,engineering,1931,69,"Ahmedabad, India",India,Married,2,"Bachelor of Science in Engineering, Indian Institute of Technology",TRUE,POINT (72.5797068 23.0216238)
Shen Hua & family,1.6,United States,semiconductors,1931,58,"Jiaxing, China",United States,Married,,,TRUE,POINT (120.7510971 30.7474425)
Barry Silbert,1.6,United States,cryptocurrency,1931,44,"Rye, New York",United States,,,,TRUE,POINT (-73.68429399999999 40.9808209)
Leonid Simanovsky,1.6,Russia,investments,1931,71,"Moscow, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuibyshev Planning Institute",TRUE,POINT (37.6174943 55.7504461)
Peter Sperling,1.6,United States,education,1931,61,"Phoenix, Arizona",United States,Married,2,"Bachelor of Arts/Science, University of California, Santa Barbara; Master of Business Administration, University of Phoenix",FALSE,POINT (-112.0741417 33.4484367)
Sun Weijie,1.6,China,oilfield equipment,1931,57,"Yantai, China",China,Married,1,"Bachelor of Arts/Science, Shandong Institute of Business and Technology",TRUE,POINT (121.4425255 37.461928)
Tang Jianfang,1.6,China,packaged foods,1931,,"Wuhan, China",China,Married,,,TRUE,POINT (114.2999353 30.5951051)
Prachak Tangkaravakoon,1.6,Thailand,paints,1931,77,"Bangkok, Thailand",Thailand,Married,4,,TRUE,POINT (100.4930399 13.7544238)
Clemens Toennies,1.6,Germany,meat processing,1931,64,"Rheda-Wiedenbrück, Germany",Germany,,,,TRUE,POINT (8.2985615 51.8428202)
Tran Ba Duong & family,1.6,Vietnam,automotive,1931,61,"Ho Chi Minh City, Vietnam",Vietnam,Married,2,,TRUE,POINT (106.7017555 10.7758439)
Tseng Cheng,1.6,Taiwan,petrochemicals,1931,59,Taiwan,Taiwan,Married,2,,FALSE,POINT (120.9820179 23.9739374)
Tung Ching Bor,1.6,China,manufacturing,1931,58,"Dongguan, China",China,,,,TRUE,POINT (113.7457788 23.0205969)
